name,country,designation,polyID,point,Acanthixalus_spinosus,Afrixalus_dorsalis,Afrixalus_fulvovittatus,Afrixalus_laevis,Afrixalus_paradorsalis,Afrixalus_quadrivittatus,Afrixalus_vittiger,Afrixalus_weidholzi,Alexteroon_hypsiphonus,Amietophrynus_camerunensis,Amietophrynus_djohongensis,Amietophrynus_gracilipes,Amietophrynus_latifrons,Amietophrynus_maculatus,Amietophrynus_regularis,Amietophrynus_steindachneri,Amietophrynus_superciliaris,Amietophrynus_togoensis,Amietophrynus_tuberosus,Amietophrynus_xeros,Arthroleptis_adelphus,Arthroleptis_poecilonotus,Arthroleptis_sylvaticus,Arthroleptis_variabilis,Astylosternus_diadematus,Astylosternus_laurenti,Astylosternus_montanus,Astylosternus_occidentalis,Astylosternus_rheophilus,Aubria_occidentalis,Bufo_pentoni,Cardioglossa_gracilis,Cardioglossa_leucomystax,Cardioglossa_nigromaculata,Cardioglossa_pulchra,Chiromantis_rufescens,Chlorolius_koehleri,Conraua_alleni,Conraua_crassipes,Conraua_robusta,Geotrypetes_seraphini,Hemisus_guineensis,Hemisus_marmoratus,Herpele_squalostoma,Hildebrandtia_ornata,Hoplobatrachus_occipitalis,Hylarana_albolabris,Hylarana_amnicola,Hylarana_asperrima,Hylarana_galamensis,Hylarana_lepus,Hylarana_longipes,Hylarana_occidentalis,Hymenochirus_boettgeri,Hyperolius_balfouri,Hyperolius_baumanni,Hyperolius_bolifambae,Hyperolius_chlorosteus,Hyperolius_concolor,Hyperolius_fusciventris,Hyperolius_guttulatus,Hyperolius_igbettensis,Hyperolius_lamottei,Hyperolius_nasutus,Hyperolius_nitidulus,Hyperolius_ocellatus,Hyperolius_picturatus,Hyperolius_riggenbachi,Hyperolius_tuberculatus,Hyperolius_viridiflavus,Hyperolius_zonatus,Idiocranium_russeli,Kassina_arboricola,Kassina_cassinoides,Kassina_fusca,Kassina_maculosa,Kassina_schioetzi,Kassina_senegalensis,Leptodactylodon_bicolor,Leptodactylodon_ovatus,Leptodactylodon_perreti,Leptodactylodon_polyacanthus,Leptopelis_aubryi,Leptopelis_boulengeri,Leptopelis_brevirostris,Leptopelis_bufonides,Leptopelis_calcaratus,Leptopelis_macrotis,Leptopelis_millsoni,Leptopelis_modestus,Leptopelis_nordequatorialis,Leptopelis_notatus,Leptopelis_occidentalis,Leptopelis_omissus,Leptopelis_viridis,Nectophryne_afra,Nectophryne_batesii,Nyctibates_corrugatus,Opisthothylax_immaculatus,Petropedetes_natator,Petropedetes_newtoni,Petropedetes_parkeri,Phlyctimantis_boulengeri,Phrynobatrachus_africanus,Phrynobatrachus_alleni,Phrynobatrachus_auritus,Phrynobatrachus_batesii,Phrynobatrachus_calcaratus,Phrynobatrachus_cornutus,Phrynobatrachus_cricogaster,Phrynobatrachus_francisci,Phrynobatrachus_fraterculus,Phrynobatrachus_guineensis,Phrynobatrachus_gutturosus,Phrynobatrachus_hylaios,Phrynobatrachus_latifrons,Phrynobatrachus_liberiensis,Phrynobatrachus_natalensis,Phrynobatrachus_phyllophilus,Phrynobatrachus_plicatus,Phrynobatrachus_sandersoni,Phrynobatrachus_steindachneri,Phrynobatrachus_tokba,Phrynobatrachus_villiersi,Phrynobatrachus_werneri,Phrynomantis_microps,Ptychadena_aequiplicata,Ptychadena_bibroni,Ptychadena_longirostris,Ptychadena_oxyrhynchus,Ptychadena_pujoli,Ptychadena_pumilio,Ptychadena_schillukorum,Ptychadena_stenocephala,Ptychadena_straeleni,Ptychadena_superciliaris,Ptychadena_tellinii,Ptychadena_tournieri,Ptychadena_trinodis,Pyxicephalus_edulis,Scotobleps_gabonicus,Silurana_tropicalis,Tomopterna_cryptotis,Xenopus_fraseri,Xenopus_laevis,Xenopus_muelleri,WDPAID,iucn_cat
Oshun,NGA,Forest Reserve,159,polygon,None,NC,None,None,None,None,NC,Inc,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,NC,NC,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,NC,None,NC,NC,None,None,None,None,None,Inc,None,NC,None,Inc,None,NC,None,None,None,None,None,Inc,NC,NC,NC,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36993,Not Reported
Osi,NGA,Forest Reserve,834,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,Inc,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,None,None,None,None,Inc,None,None,None,None,NC,None,None,None,NC,36785,Not Reported
Osomari,NGA,Forest Reserve,164,polygon,None,Inc,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,NC,Inc,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,NC,NC,Inc,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,NC,NC,None,None,None,Inc,None,None,None,None,None,Inc,NC,None,None,NC,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,NC,None,Inc,None,NC,None,None,None,None,None,None,Dec,NC,None,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,Inc,36998,Not Reported
Otamiri River,NGA,Forest Reserve,169,polygon,Inc,NC,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,NC,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,NC,NC,NC,Inc,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,NC,None,None,NC,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,NC,NC,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,37003,Not Reported
Otamiri,NGA,Forest Reserve,170,polygon,NC,NC,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,Dec,None,None,NC,None,None,None,None,Dec,Inc,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,NC,NC,NC,Inc,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,Dec,NC,None,None,None,Inc,None,None,None,None,None,None,Dec,None,None,NC,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,Dec,NC,None,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,37004,Not Reported
Otete,NGA,Forest Reserve,866,polygon,None,None,None,None,None,NC,Inc,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,Inc,None,NC,None,Dec,None,None,None,None,None,None,None,Inc,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36848,Not Reported
Otu,NGA,Forest Reserve,142,polygon,None,NC,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,NC,NC,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,Inc,None,NC,None,NC,None,NC,None,None,None,None,None,None,NC,NC,NC,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36975,Not Reported
Otuma,NGA,Forest Reserve,857,polygon,None,Inc,None,None,None,None,NC,Dec,None,None,None,None,None,NC,Dec,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,NC,None,None,None,None,None,Inc,None,None,None,None,None,Dec,NC,None,None,NC,Inc,None,None,NC,None,None,None,None,None,None,None,None,NC,Inc,Inc,NC,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,None,Dec,None,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36810,Not Reported
Oturkpo,NGA,Forest Reserve,61,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,Inc,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,Inc,36881,Not Reported
Ouadi-Rime-Ouadi Achim,TCD,Faunal Reserve,7,polygon,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,1250,IV
Ouari Maro,BEN,Classified Forest,16,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,Inc,NC,None,Inc,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,NC,None,None,None,None,None,None,None,None,Inc,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,Dec,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,None,None,None,None,NC,None,NC,None,None,Inc,None,None,None,NC,6955,Not Reported
Ouarigue,CIV,Classified Forest,153,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,Inc,None,NC,NC,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,Inc,NC,None,None,NC,None,None,None,NC,300747,Not Reported
Ouatchidome,TGO,Forest Reserve,15,polygon,None,None,None,None,None,None,NC,None,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,NC,Inc,None,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,Inc,Dec,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,37169,Not Reported
Oueme Boukou,BEN,Classified Forest,10,polygon,None,None,None,None,None,None,NC,Dec,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,NC,None,None,Dec,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,NC,Dec,None,Dec,None,NC,None,None,None,None,Inc,None,None,None,None,NC,None,None,None,Dec,5162,Not Reported
Oueme Superieur,BEN,Classified Forest,15,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,Dec,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,None,None,Inc,None,None,None,NC,6954,Not Reported
Ouilingore,BFA,Classified Forest,20,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Dec,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Dec,None,None,None,NC,None,NC,None,None,None,Inc,None,None,NC,28540,Not Reported
Ouladin,GIN,Classified Forest,81,polygon,None,Inc,NC,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,NC,None,None,NC,NC,NC,None,None,NC,Dec,None,None,NC,None,None,None,None,None,None,None,NC,NC,NC,NC,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,NC,None,None,NC,None,None,Inc,NC,NC,None,None,NC,NC,NC,NC,None,None,None,NC,None,None,NC,None,NC,NC,Inc,NC,NC,None,None,None,NC,NC,Inc,None,None,None,NC,None,None,None,None,29456,Not Reported
Oume Doka,CIV,Classified Forest,84,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,Dec,Dec,None,None,NC,None,None,None,NC,None,Dec,None,None,None,None,None,NC,None,None,Inc,None,None,Dec,None,None,None,None,Dec,Dec,None,None,None,NC,Dec,None,None,Inc,None,None,None,None,None,None,None,NC,NC,Dec,Dec,NC,None,None,NC,None,NC,None,None,None,NC,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,None,NC,None,None,Inc,None,None,NC,None,NC,NC,Inc,None,NC,None,None,None,None,None,NC,Dec,NC,NC,NC,None,NC,None,None,None,NC,None,NC,None,None,None,NC,None,None,None,None,300902,Not Reported
Ouoro,BFA,Classified Forest,63,polygon,None,None,None,None,None,None,NC,Inc,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Inc,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Dec,None,None,None,Dec,None,NC,None,None,None,NC,None,None,NC,313438,Not Reported
Outamba,SLE,National Park,8,polygon,None,None,None,None,None,None,NC,Inc,None,None,None,None,None,None,NC,None,None,None,None,None,None,Dec,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,NC,NC,NC,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,NC,None,None,NC,None,None,Inc,NC,NC,None,None,NC,None,NC,None,None,None,None,NC,None,None,Dec,None,NC,None,Inc,None,NC,None,None,None,NC,None,NC,Inc,None,None,Dec,None,None,None,None,7417,II
Owabi,GHA,"Ramsar Site, Wetland of International Importance",179,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,Dec,Dec,None,NC,NC,None,None,None,Dec,None,Dec,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,Dec,NC,None,None,NC,Dec,None,None,NC,None,None,NC,None,None,None,None,None,NC,Dec,Dec,NC,None,None,Inc,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,None,Inc,None,None,None,None,None,NC,None,Inc,Dec,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,67965,Not Applicable
Owabi,GHA,Wildlife Sanctuary,5,polygon,None,NC,None,None,None,None,NC,None,None,None,None,None,None,Dec,Dec,None,NC,NC,None,None,None,Dec,None,Dec,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,Dec,NC,None,None,NC,Dec,None,None,NC,None,None,NC,None,None,None,None,None,NC,Dec,Dec,NC,None,None,Inc,None,NC,None,None,None,None,None,NC,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,NC,None,NC,None,Inc,None,None,None,None,None,NC,None,Inc,Dec,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,5154,IV
Owan,NGA,Forest Reserve,149,polygon,None,Inc,None,None,None,Inc,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,Inc,None,None,NC,None,None,None,None,NC,NC,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,Inc,NC,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,None,None,None,NC,None,Dec,None,NC,None,None,None,None,None,None,Inc,NC,NC,Dec,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36982,Not Reported
Owo,NGA,Forest Reserve,44,polygon,None,NC,None,None,None,None,NC,Dec,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,NC,None,NC,None,None,None,None,None,NC,None,None,Inc,None,None,NC,None,None,None,None,NC,Dec,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,Inc,NC,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Inc,Inc,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,None,Inc,None,NC,None,NC,None,NC,None,None,None,None,None,Inc,NC,NC,NC,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36840,Not Reported
Oyinno,NGA,Forest Reserve,42,polygon,None,Inc,None,None,None,None,NC,Dec,None,None,None,None,None,NC,NC,None,None,None,None,None,None,NC,None,Inc,None,None,None,None,None,NC,None,None,Inc,None,None,NC,None,None,None,None,Inc,Dec,NC,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,Inc,NC,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,Inc,None,None,Inc,None,NC,None,NC,None,NC,None,None,None,None,None,Inc,Inc,NC,NC,NC,None,NC,None,None,None,None,None,None,None,None,None,NC,None,None,None,NC,36837,Not Reported
Pa,BFA,Classified Forest,10,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,Inc,NC,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Dec,None,NC,NC,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Dec,None,None,None,NC,None,NC,None,None,None,NC,None,None,NC,28527,Not Reported
Pai River,NGA,Forest Reserve,741,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,Dec,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,Inc,None,None,None,NC,None,NC,NC,None,NC,Inc,None,Dec,Dec,36689,Not Reported
Pai River,NGA,Game Reserve,226,polygon,None,None,None,None,None,NC,None,NC,None,None,None,None,None,Dec,NC,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Inc,None,None,None,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,Dec,None,NC,NC,None,None,None,NC,None,NC,NC,None,NC,Inc,None,Dec,Dec,7856,Not Reported
Pama,BFA,Partial Faunal Reserve,69,polygon,None,None,None,None,None,None,NC,NC,None,None,None,None,None,NC,NC,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,Dec,None,NC,NC,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,NC,None,None,None,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,Dec,None,None,None,NC,None,NC,NC,None,None,Inc,None,None,NC,3228,IV
Pamu Berekum,GHA,Forest Reserve,61,polygon,None,NC,None,None,None,None,NC,Dec,None,None,None,None,None,NC,NC,None,None,NC,None,None,None,Dec,None,NC,None,None,None,None,None,Inc,None,None,None,None,None,NC,None,None,None,None,None,Dec,NC,None,None,NC,Dec,None,None,NC,None,None,None,None,None,None,None,None,NC,Inc,Dec,NC,None,None,Dec,None,None,None,None,None,None,None,NC,None,None,None,NC,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,NC,None,None,NC,None,None,Inc,None,None,NC,None,NC,None,NC,None,None,None,None,None,None,None,NC,Dec,Dec,NC,Dec,None,NC,None,None,None,None,Inc,Inc,Inc,None,None,NC,None,None,None,Inc,40759,Not Reported
Pandam and Wase Lakes,NGA,"Ramsar Site, Wetland of International Importance",8,polygon,None,None,None,None,None,NC,None,Dec,None,None,None,None,None,Dec,Dec,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,NC,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,None,Dec,None,None,Dec,None,None,Dec,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,Inc,None,None,None,None,None,None,None,None,Dec,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Dec,None,None,None,None,NC,None,Dec,None,None,None,None,None,None,None,Dec,None,Dec,None,Dec,None,NC,None,None,None,None,NC,None,Inc,Inc,None,Dec,None,None,Dec,Dec,903111,Not Applicable
Panshanu,NGA,Forest Reserve,574,polygon,None,None,None,None,None,Inc,None,NC,None,None,None,None,None,NC,Inc,None,None,None,None,Inc,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,NC,NC,None,NC,NC,NC,None,None,NC,None,None,None,None,None,None,None,None,Inc,None,None,NC,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,NC,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,NC,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NC,None,None,None,None,NC,None,Inc,None,None,None,None,None,None,None,NC,None,NC,None,NC,None,NC,NC,None,None,None,NC,None,NC,NC,None,NC,Inc,None,NC,NC,36514,Not Reported
